sentenca_a	sentenca_b	conflito
Everyone must be treated with equality and transparency.	A, employee, refuses to sell products for a female costumer.	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, refuses to sell products for a female costumer.	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, refuses to sell products for a female costumer.	no
A work team leader cannot abuse their powers or authority.	A, employee, refuses to sell products for a female costumer.	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, refuses to sell products for a female costumer.	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, refuses to sell products for a female costumer.	no
All work team members must have equal opportunities.	A, employee, refuses to sell products for a female costumer.	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, refuses to sell products for a female costumer.	no
Workplace haressment is prohibited.	A, employee, refuses to sell products for a female costumer.	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, refuses to sell products for a female costumer.	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, refuses to sell products for a female costumer.	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, refuses to sell products for a female costumer.	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, refuses to sell products for a female costumer.	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, refuses to sell products for a female costumer.	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, refuses to sell products for a female costumer.	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, refuses to sell products for a female costumer.	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, refuses to sell products for a female costumer.	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, refuses to sell products for a female costumer.	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, refuses to sell products for a female costumer.	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, refuses to sell products for a female costumer.	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, refuses to sell products for a female costumer.	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, refuses to sell products for a female costumer.	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, refuses to sell products for a female costumer.	no
Competition fraud is prohibited.	A, employee, refuses to sell products for a female costumer.	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, refuses to sell products for a female costumer.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, refuses to sell products for a female costumer.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, refuses to sell products for a female costumer.	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, refuses to sell products for a female costumer.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, refuses to sell products for a female costumer.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, refuses to sell products for a female costumer.	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, refuses to sell products for a female costumer.	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, refuses to sell products for a female costumer.	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, refuses to sell products for a female costumer.	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, refuses to sell products for a female costumer.	no
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, refuses to sell products for a female costumer.	no
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, refuses to sell products for a female costumer.	no
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, refuses to sell products for a female costumer.	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, refuses to sell products for an elderly costumer.	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, refuses to sell products for an elderly costumer.	yes
Everyone must be treated with equality and transparency.	A, employee, refuses to sell products for an elderly costumer.	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, refuses to sell products for an elderly costumer.	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, refuses to sell products for an elderly costumer.	no
A work team leader cannot abuse their powers or authority.	A, employee, refuses to sell products for an elderly costumer.	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, refuses to sell products for an elderly costumer.	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, refuses to sell products for an elderly costumer.	no
All work team members must have equal opportunities.	A, employee, refuses to sell products for an elderly costumer.	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, refuses to sell products for an elderly costumer.	no
Workplace haressment is prohibited.	A, employee, refuses to sell products for an elderly costumer.	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, refuses to sell products for an elderly costumer.	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, refuses to sell products for an elderly costumer.	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, refuses to sell products for an elderly costumer.	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, refuses to sell products for an elderly costumer.	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, refuses to sell products for an elderly costumer.	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, refuses to sell products for an elderly costumer.	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, refuses to sell products for an elderly costumer.	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, refuses to sell products for an elderly costumer.	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, refuses to sell products for an elderly costumer.	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, refuses to sell products for an elderly costumer.	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, refuses to sell products for an elderly costumer.	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, refuses to sell products for an elderly costumer.	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, refuses to sell products for an elderly costumer.	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, refuses to sell products for an elderly costumer.	no
Competition fraud is prohibited.	A, employee, refuses to sell products for an elderly costumer.	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, refuses to sell products for an elderly costumer.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, refuses to sell products for an elderly costumer.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, refuses to sell products for an elderly costumer.	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, refuses to sell products for an elderly costumer.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, refuses to sell products for an elderly costumer.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, refuses to sell products for an elderly costumer.	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, refuses to sell products for an elderly costumer.	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, refuses to sell products for an elderly costumer.	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, refuses to sell products for an elderly costumer.	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, refuses to sell products for an elderly costumer.	no
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, refuses to sell products for an elderly costumer.	no
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, refuses to sell products for an elderly costumer.	no
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, refuses to sell products for an elderly costumer.	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, refuses to sell products for a jew costumer.	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, refuses to sell products for a jew costumer.	yes
Everyone must be treated with equality and transparency.	A, employee, refuses to sell products for a jew costumer.	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, refuses to sell products for a jew costumer.	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, refuses to sell products for a jew costumer.	no
A work team leader cannot abuse their powers or authority.	A, employee, refuses to sell products for a jew costumer.	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, refuses to sell products for a jew costumer.	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, refuses to sell products for a jew costumer.	no
All work team members must have equal opportunities.	A, employee, refuses to sell products for a jew costumer.	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, refuses to sell products for a jew costumer.	no
Workplace haressment is prohibited.	A, employee, refuses to sell products for a jew costumer.	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, refuses to sell products for a jew costumer.	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, refuses to sell products for a jew costumer.	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, refuses to sell products for a jew costumer.	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, refuses to sell products for a jew costumer.	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, refuses to sell products for a jew costumer.	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, refuses to sell products for a jew costumer.	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, refuses to sell products for a jew costumer.	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, refuses to sell products for a jew costumer.	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, refuses to sell products for a jew costumer.	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, refuses to sell products for a jew costumer.	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, refuses to sell products for a jew costumer.	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, refuses to sell products for a jew costumer.	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, refuses to sell products for a jew costumer.	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, refuses to sell products for a jew costumer.	no
Competition fraud is prohibited.	A, employee, refuses to sell products for a jew costumer.	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, refuses to sell products for a jew costumer.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, refuses to sell products for a jew costumer.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, refuses to sell products for a jew costumer.	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, refuses to sell products for a jew costumer.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, refuses to sell products for a jew costumer.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, refuses to sell products for a jew costumer.	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, refuses to sell products for a jew costumer.	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, refuses to sell products for a jew costumer.	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, refuses to sell products for a jew costumer.	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, refuses to sell products for a jew costumer.	no
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, refuses to sell products for a jew costumer.	no
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, refuses to sell products for a jew costumer.	no
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, refuses to sell products for a jew costumer.	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, refuses to sell products for a costumer with special needs.	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, refuses to sell products for a costumer with special needs.	yes
Everyone must be treated with equality and transparency.	A, employee, refuses to sell products for a costumer with special needs.	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, refuses to sell products for a costumer with special needs.	no
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, refuses to sell products for a costumer with special needs.	no
A work team leader cannot abuse their powers or authority.	A, employee, refuses to sell products for a costumer with special needs.	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, refuses to sell products for a costumer with special needs.	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, refuses to sell products for a costumer with special needs.	no
All work team members must have equal opportunities.	A, employee, refuses to sell products for a costumer with special needs.	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, refuses to sell products for a costumer with special needs.	no
Workplace haressment is prohibited.	A, employee, refuses to sell products for a costumer with special needs.	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, refuses to sell products for a costumer with special needs.	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, refuses to sell products for a costumer with special needs.	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, refuses to sell products for a costumer with special needs.	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, refuses to sell products for a costumer with special needs.	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, refuses to sell products for a costumer with special needs.	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, refuses to sell products for a costumer with special needs.	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, refuses to sell products for a costumer with special needs.	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, refuses to sell products for a costumer with special needs.	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, refuses to sell products for a costumer with special needs.	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, refuses to sell products for a costumer with special needs.	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, refuses to sell products for a costumer with special needs.	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, refuses to sell products for a costumer with special needs.	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, refuses to sell products for a costumer with special needs.	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, refuses to sell products for a costumer with special needs.	no
Competition fraud is prohibited.	A, employee, refuses to sell products for a costumer with special needs.	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, refuses to sell products for a costumer with special needs.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, refuses to sell products for a costumer with special needs.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, refuses to sell products for a costumer with special needs.	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, refuses to sell products for a costumer with special needs.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, refuses to sell products for a costumer with special needs.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, refuses to sell products for a costumer with special needs.	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, refuses to sell products for a costumer with special needs.	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, refuses to sell products for a costumer with special needs.	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, refuses to sell products for a costumer with special needs.	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, refuses to sell products for a costumer with special needs.	no
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, refuses to sell products for a costumer with special needs.	no
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, refuses to sell products for a costumer with special needs.	no
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, refuses to sell products for a costumer with special needs.	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, orders to kill B, also an employee.	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, orders to kill B, also an employee.	no
Everyone must be treated with equality and transparency.	A, employee, orders to kill B, also an employee.	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, orders to kill B, also an employee.	yes
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, orders to kill B, also an employee.	no
A work team leader cannot abuse their powers or authority.	A, employee, orders to kill B, also an employee.	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, orders to kill B, also an employee.	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, orders to kill B, also an employee.	no
All work team members must have equal opportunities.	A, employee, orders to kill B, also an employee.	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, orders to kill B, also an employee.	no
Workplace haressment is prohibited.	A, employee, orders to kill B, also an employee.	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, orders to kill B, also an employee.	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, orders to kill B, also an employee.	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, orders to kill B, also an employee.	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, orders to kill B, also an employee.	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, orders to kill B, also an employee.	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, orders to kill B, also an employee.	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, orders to kill B, also an employee.	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, orders to kill B, also an employee.	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, orders to kill B, also an employee.	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, orders to kill B, also an employee.	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, orders to kill B, also an employee.	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, orders to kill B, also an employee.	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, orders to kill B, also an employee.	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, orders to kill B, also an employee.	no
Competition fraud is prohibited.	A, employee, orders to kill B, also an employee.	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, orders to kill B, also an employee.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, orders to kill B, also an employee.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, orders to kill B, also an employee.	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, orders to kill B, also an employee.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, orders to kill B, also an employee.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, orders to kill B, also an employee.	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, orders to kill B, also an employee.	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, orders to kill B, also an employee.	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, orders to kill B, also an employee.	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, orders to kill B, also an employee.	no
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, orders to kill B, also an employee.	no
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, orders to kill B, also an employee.	no
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, orders to kill B, also an employee.	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Respect differences in gender, sexual identity, sexual orientation, religion, races, cultures, nationalities, social classes, ages and characteristics.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Everyone must be treated with equality and transparency.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Obey the limits of human rights to human dignity, personal worth, life, freedom, freedom of expression and opinion, free association, work and education.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	yes
A leadership position cannot be used to solicit personal favors or services from staff members.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
A work team leader cannot abuse their powers or authority.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Intervention in the private lives of members of the work team is prohibited.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
It is forbidden to use alcohol and illicit drugs in the workplace.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
All work team members must have equal opportunities.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Forced labor, slave labor, child labor, sexual exploitation and human trafficking in the activities of the Company and its agents and business partners are prohibited.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Workplace haressment is prohibited.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Team leaders must promote the safety and health of everyone in the workplace.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Work team members must not prevent or hinder the entry of labor inspectors, police officers or labor auditors.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Labor inspectors, police officers or labor auditors accompany must be performed by qualified personnel trained for this purpose.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Staff members are responsible for the conservation and protection of Company assets, including data, information, facilities, machinery, equipment, vehicles and money.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Information technology resources such as telephones, e-mail, internet access, software, hardware, and others available to members of the work are for work purposes only.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Data, recordings, and information produced by staff members and kept in digital copy or on Company information systems are the sole property of the Company.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Staff members must identify, store and secure records of all data produced, received and transmitted at the Company.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
The destruction of data required by court to be used in legal litigation is a crime and harms the Company.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
If the staff member is unsure about which data to submit or what to do with the data, Company lawyers must be consulted.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
The privacy of registration, information, operation and contract data of customers, suppliers and business partners must be preserved by staff members.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Team members are prohibited from promising, offering or giving, directly or indirectly, advantages, favors, gifts or anything to influence Company customers and customer representatives.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Work team members are required to draw up objective contracts without ambiguity or omission in accordance with local law.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Work team members who drafted the contract are responsible for errors in the contract and may be dismissed.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Limiting, distorting or harming free competition and free enterprise is prohibited.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Competition fraud is prohibited.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
It is forbidden to make agreements, express or implied, with competitors with the intention to divide customers and territories.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to stop purchasing products from specific suppliers.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of fixing minimum price, maximum price or price stability.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Making express or implied agreements with competitors to accelerate obsolescence or discontinuity of obsolete products is prohibited.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
It is prohibited to make agreements, express or implied, with competitors with the intention of limiting the quantity of products sold to each customer.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
It is prohibited to make agreements, express or implied, with competitors with the intention to grant or extinguish price discounts.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Work team members cannot unequally treat customers with distinct characteristics.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Work team members may not work for companies, or be partners with companies that operate in the same industry.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Work team members may not enter into agreements or transactions with Company competitors, except on behalf of the Company.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Work team members are responsible for acts of corruption that they perform to circumvent the laws to gain advantage for themselves or the Company by promising, inducing, offering, delivering or authorizing the delivery of objects or favors to public officials.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Work team members are responsible for improperly obtaining from civil servants, customers or competitors objects or favors to the detriment of the Company.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Work team members cannot promise, offer, give or authorize the direct or indirect delivery of financial contributions to politicians or political parties on behalf of the Company.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Contributions to politicians or political parties in the countries in which they are accepted may only be made with the approval of the Company's Board of Directors.	A, employee, threats B, another employee, with a fire weapon, at the company headquartes.	no
Whenever there's a doubt, company lawyers must always be consulted.	A, employee, presented at company dependencies, on July 5th 2019, carrying dynamite.	no
